name,caption,sentiment,emotion,desire
Senior Latino man walking his senior Retriever dog,"Mature Latino man with beard any stylish casual clothing in springtime day in Buenos Aires, Argentina walking his Retriever dog",positive,happiness,none
Coffee and a quiet moment,Shot of a mature woman relaxing on the sofa at home with a cup of coffee,neutral,neutral,none
You are my biggest achievment,"Affectionate love between father and newborn baby, father holding his son in arms in apartment",neutral,neutral,family
Blond woman playing ukulele in front of Christmas tree,Blond woman playing ukulele in front of Christmas tree,positive,happiness,none
Close-up of worried man with eyes closed at home,Close-up of worried man with eyes closed at home,negative,sad,none
"Scotland, boy and senior man fishing together","Scotland, boy and senior man fishing together",neutral,neutral,family
We have caught a fish,Little boy and his mother have caught a fish on a lake,positive,happiness,curiosity
Angry Retro Secretary At Computer Desk In Office,Vintage African American business woman at the office works at an old computer at her desk; she screams and prepares to smash her computer with the keyboard. 1980's - 1990's fashion style. Wood paneling on wall in the background.,negative,anger,vengeance
Man meditating by the lake after an outdoor exercise,Man is taking in the beauty of the nature after an outdoor exercise. He is sitting down to meditate.,neutral,neutral,none
Cowboy aiming rifle from window,Cowboy aiming rifle from window,negative,anger,vengeance
Children reading a book past their bedtime,"Two children are reading a book in bed under a sheet. Little boy has a small headlamp on his head. They are hiding under a homemade playing tent, made of bedding. Next to him, the little girl is holding her finger on the page of the book.",positive,happiness,curiosity
Child playing hands with parents,Family to play in the evening,positive,happiness,family
Portrait of Cute Girl,At Subway Station,positive,happiness,none
Women in room,Women in room,negative,sad,none
Young woman sitting on the couch with cup of coffee using laptop,Young woman sitting on the couch with cup of coffee using laptop,neutral,neutral,none
Senior woman peering anxiously through blinds,Elderly woman parts blinds to peer into or out of a window.,negative,fear,curiosity
"New Jersey, Jersey City, Senior couple walking","New Jersey, Jersey City, Senior couple walking",neutral,neutral,none
"Man peering through gap in frosted glass, portrait, close-up","Man peering through gap in frosted glass, portrait, close-up",negative,fear,curiosity
Woman Taking Bath And Smiling While Messaging Someone,Woman taking a bath and smiling while messaging someone she met on a dating app using her smartphone.,neutral,neutral,none
Happy young businessman jumping,"Beijing,China",positive,happiness,none
Smiling and relaxed woman,"Black woman, turban, Brazilian flag, young woman, love for Patria, Brazilian people, one woman",positive,happiness,none
Embrace the joys that life has to offer,Studio shot of a happy mature woman laughing against a gray background,positive,happiness,none
Close up watching,Stock image of a beautiful young woman studying a see through computer screen & contemplating.,neutral,neutral,none
Man sitting on window sill in living room looking outside holding a cup,Man sitting on window sill in living room looking outside holding a cup,neutral,neutral,none
Cheerful mature couple having fun while eating watermelon during picnic day in nature.,Cheerful senior couple having fun while eating watermelon in the backyard.,positive,happiness,romance
Family playing together in Christmas time.,Family with two little daughters playing at home with railway track toy while sitting on the floor in Christmas time. Christmas and New Year concept.,positive,happiness,family
People fighting in warehouse,People fighting in warehouse,negative,anger,vengeance
Portrait of mature woman with her eyes closed,Portrait of mature woman with her eyes closed,neutral,neutral,none
Terrible find of a shocked man digging a deep hole or grave in dirty ground with a shovel. A farm digger or gravedigger with an open mouth in disbelief staring into a pit,Terrible find of a shocked man digging a deep hole or grave in dirty ground with a shovel. A farm digger or gravedigger with an open mouth in disbelief staring into a pit.,negative,fear,curiosity
Portrait of smiling blond woman with freckles,Portrait of smiling blond woman with freckles,positive,happiness,none
Let's look at restaurant reviews online and pick from there,Shot of a mature couple using a laptop while relaxing at home,positive,happiness,romance
Mother multi-tasking with infant daughter in home office,Mother multi-tasking with infant daughter in home office,neutral,neutral,family
Imagination can take you anywhere,Shot of an adorable little boy looking away thoughtfully,positive,happiness,curiosity
Father shows daughter how to find video on laptop,Father takes time to help his daughter find the video she needs to be able to finish her school project.,positive,happiness,family
Senior woman enjoys reading in the library,Smiling senior African American woman looks down in concentration as she sits in the library and turns the pages in a book. She chuckles at the humorous story.,positive,happiness,curiosity
Caucasian woman reading book,Caucasian woman reading book,positive,happiness,curiosity
Young couple before separation,Photos showing a young couple experiencing difficulties in their relationship,negative,sad,romance
Woman,Scary reflection of a young woman. Halloween theme.,negative,fear,none
Happy embraced college couple in the classroom.,Happy college couple embracing with great affection on a class at lecture hall.,positive,happiness,romance
"Mom and daughter, both with afro curly hair and brown skin, are sitting on the living room floor of their new house smiling","Mom Latin woman with brown skin average age of 29 years old with afro curly hair has her little daughter of 5 years sitting on her legs, Latin girl with brown skin and afro hair both are sitting on the floor of her new living room surrounded by boxes of moving they look at the camera and smile",positive,happiness,family
Terrified businessman cowering behind his briefcase,Terrified businessman cowering behind his briefcase,negative,fear,tranquility
Sisters walking dog in park,Sisters walking dog in park,neutral,neutral,none
Girl showing her sister a butterfly,Butterfly resting on a girls finger while another little girl uses a magnifying glass to look at it.,positive,happiness,curiosity
Portrait of happy family outdoors,Portrait of happy family outdoors,positive,happiness,family
Young man sitting in the dark covers his face,"Hoodie-wearing young man, seen sitting in the dark, holds his hand over his face, exhausted or miserable.",negative,sad,none
Mother carrying daughter & both laughing,Mother carrying daughter & both laughing in garden,positive,happiness,family
She's reached her breaking point,Shot of a young businesswoman looking frustrated while working late in an office,negative,anger,none
Woman with laptop sitting on balcony,Woman with laptop sitting on balcony,neutral,neutral,none
Staying fit is vital to me,Cropped portrait of a happy senior man standing alone before a yoga session in his back garden,neutral,neutral,none
Time for home office and home schooling,"Overhead view on man working at table in living room beside daughter doing home work, second daughter looking at tablet on sofa",neutral,neutral,family
Mother and Young Son Reading Aloud at Dining Room Table,Spanish mother in early 40s with arm around young son sitting side by side at dining room table and reading aloud.,neutral,neutral,family
Little girl discovery.,"Excited 5 years mixed race girl with beautiful curly afro hair standing in the forest, holding the jar with a plant and insect inside, lifting the jar up looking inside. The child looks content.",positive,happiness,curiosity
Woman is shouting into phone.,Woman is shouting into phone.,negative,anger,none
Three girlfriends eating icecream,Three girlfriends eating icecream,positive,happiness,social-contact
Hispanic woman carrying exercise mat in sunny field,Hispanic woman carrying exercise mat in sunny field,neutral,neutral,none
Real displeased young woman portrait,Real displeased young woman portrait,negative,disgust,none
Young woman with headphones and backpack jumping in the air in front of brick wall,Young woman with headphones and backpack jumping in the air in front of brick wall,positive,happiness,none
Nothing keeps employees inspired like good news,Shot of a group of businesspeople clapping during a conference,positive,happiness,social-contact
Doctor wearing protective suit to fight coronavirus pandemic covid-2019.,"Tired doctor in PPE suit in the lab,Doctor wearing protective suit to fight coronavirus pandemic covid-2019,Overworked doctor,Coronavirus has turned into a global emergency.",negative,sad,none
Athletic woman stretching in nature,Asian athletic woman stretching arms up in grassy meadow area near river at sunset,positive,happiness,none
Woman reading in sunlight.,Woman reading in sunlight in an appartment.,neutral,neutral,none
Woman looking her meal.,Woman looking her meal.,negative,disgust,none
Excited afro young woman dancing against yellow background,Happy and energetic afro young woman dancing against yellow background. Studio shot.,positive,happiness,none
Smiling fishermen,Two men fishing by the river,positive,happiness,social-contact
Portrait of happy mother and daughter at a lake,Portrait of happy mother and daughter at a lake,positive,happiness,family
Jealous girl looking at a couple,Jealous girl looking at a couple,negative,sad,romance
"MAN STICKING HIS TONGUE OUT, 196","MAN STICKING HIS TONGUE OUT, 1966",negative,disgust,none
"Two men face to face, grabbing each other's shirt collar","Two men face to face, grabbing each other's shirt collar",negative,anger,vengeance
Mother cooking at home with two children,"Mid adult woman opening hot oven and smiling at daughter, with toddler on knee",neutral,neutral,family
He's completely in love with her,Shot of an affectionate middle aged man kissing his wife on her forehead while relaxing on their bed at home,positive,happiness,romance
Female couple arguing over something on the phone,Young blond woman being angry at her girlfriend and showing her the phone,negative,sad,romance
Mother and daughter reading book on couch,Mother and daughter reading book on couch,neutral,neutral,family
African Businesswomen looking out for her boss,African Businesswomen looking out for her boss,negative,fear,curiosity
Woman sat on sofa using smart phone,Woman sat on sofa using smart phone,neutral,neutral,none
Portrait of a Woman with tattoos and red lipstick against a pink background,Portrait of a Woman with tattoos and red lipstick against a pink background,positive,happiness,none
Sunset and mother and son,Mother telling love to her son.,neutral,neutral,family
"Dark skinned male,looking down, blurry","Dark skinned male,looking down, blurry",negative,sad,none
Young girl uses her laptop teleconferencing in the house,Asian teenage girl having video call with teacher for home schooling using laptop,positive,happiness,none
Yoga in Natural Light Studio,Yoga in Natural Light Studio,neutral,neutral,none
M really not in the mood to eat these vegetables,Shot of two confused looking children looking at vegetables on a plate that their parents expect them to eat while sitting around a table at home,negative,disgust,none
"Spain, Barcelona, jogging woman with headphones at harbour","Spain, Barcelona, jogging woman with headphones at harbour",neutral,neutral,none
Couple Fighting in Office,Couple Fighting in Office,negative,anger,vengeance
Rear view of large group of students on a class at lecture hall.,Back view of large group of students paying attention on a class at lecture hall.,neutral,neutral,none
Taking my Cocker Spaniel Puppy for a Walk,Beautiful blonde woman is walking with her adorable Cocker Spaniel puppy in the street.,neutral,neutral,none
Shot of young brazilian woman,Close up of young beautiful brazilian with curly hair,positive,happiness,none
Mature woman walking with dog at the sea,Mature woman walking with dog at the sea,neutral,neutral,none
Beautiful Woman with Cancer Smiles,Beautiful young woman wearing a head wrap looks toward the camera and smiles radiantly. She is standing outdoors and there are mountains and trees in the background.,positive,happiness,none
"Little boy , hands on hips, portrait","Little boy , hands on hips, portrait",negative,anger,none
Girl in the nature looking through magnifying glass,Girl in the nature looking through magnifying glass,positive,happiness,curiosity
Home office,"Young modern woman working from home, using laptop",positive,happiness,none
Young girl using digital tablet by window,Young girl using digital tablet by window,positive,happiness,none
Close-Up Portrait Of Angry Senior Man,"Photo taken in Berlin, Germany",negative,anger,none
Portrait of redheaded woman enjoying sunlight,Portrait of redheaded woman enjoying sunlight,positive,happiness,none
Conflict between woman and man,"Adult couple after argument, standing in the kitchen at home.",negative,sad,romance
Seniors Walking at the Park,Multi-ethnic group of senior adults are walking together through the park on a sunny day.,neutral,neutral,none
Sulking man sitting on sofa whilst girlfriend reads text message,Sulking man sitting on sofa whilst girlfriend reads text message,negative,sad,romance
African Baby Girl,An African toddler girl looking seriously at the camera.,negative,fear,curiosity
Father lifting his son,Father and son playing together.,positive,happiness,family
Young woman working at home,Young woman working at home,neutral,neutral,none
Worried woman sitting on floor next to bed,"Mid adult woman sitting home alone, worried.",negative,sad,tranquility
Smiling woman on a windy day,Beautiful charming woman with messy hair outdoor in windy day,positive,happiness,none
Make Your Kid A Money Genius,Dad Teaching Basic Money Concepts to his son in the kitchen,neutral,neutral,family
Love Hurts,Desaturated image of woman holding knife.,negative,anger,vengeance
Rustic wedding bouquet,Rustic wedding bouquet,positive,happiness,romance
Woman resting while sitting on chair at home,Woman resting while sitting on chair at home,neutral,neutral,none
Joyful young Asian mother holding hands of little daughter supporting and assisting her walking along on stone on a lovely sunny day,Joyful young Asian mother holding hands of little daughter supporting and assisting her walking along on stone on a lovely sunny day,positive,happiness,family
Teen Boy and Adult Male Yelling,Digital Composite,negative,anger,vengeance
So I was thinking about something like this...,Cropped shot of three businessman discussing work in the office,neutral,neutral,none
Happy mature businesswoman talking to her colleagues on a meeting in the office.,Happy senior businesswoman communicating with her colleagues on a meeting in the office. The view is through glass.,positive,happiness,social-contact
Are citric acid to young women,Are citric acid to young women,negative,disgust,none
Headshot of a Teenage Boy,Portrait of a smiling teenager looking at the camera and smiling.,positive,happiness,none
Woman laughing while trying on clothes at market,Woman laughing while trying on clothes at market,positive,happiness,none
Learning to ride a bicycle,Photo of a young boy who is learning to ride a bicycle with a little help from his mother; wide photo dimensions,positive,happiness,family
Boy exploring nature with magnifying glass,Year old mixed race African-American and Caucasian boy exploring nature with a magnifying glass in the park. He is smiling and looking at the camera through the magnifying glass.,positive,happiness,curiosity
Smiling African American Woman Wearing Glasses and Wireless Earphones Makes a Video Call on her Laptop Computer at her Home Office,Working from home in the era of the new normal: a happy mixed race woman attending an online meeting.,positive,happiness,none
Friends working out together,"Two young women, different ethnicity ,exercisng outdoor. They are wearing sport clothing. Getting ready for training.",neutral,neutral,none
The couples who jump all at once in a beach,The couples who jump all at once in a beach,positive,happiness,social-contact
Students using laptop together outdoors,Students using laptop together outdoors,positive,happiness,social-contact
View through privacy curtains to female doctor sitting with head in hand,View through privacy curtains to female doctor sitting with head in hand,negative,sad,none
Mother and daughter unconditional love,"Close life moments between mother and daughter. Real people, genuine emotions.",positive,happiness,family
Young woman watching a horror movie,Young woman watching a horror movie,negative,fear,curiosity
Young women on a road trip with cabriolet,Young women on a road trip with cabriolet,positive,happiness,social-contact
"Mature couple relax on wooden pier, looks out across lake","Lost Lake, Whistler, BC",positive,happiness,romance
Prince Charles and Lady Diana Spencer in the gardens of Buckingham Palace on the day of announcing their engagement...,Prince Charles and Lady Diana Spencer in the gardens of Buckingham Palace on the day of announcing their engagement.,positive,happiness,romance
Showing the nature,Father showing some insect to this children .,positive,happiness,curiosity
Mature woman smiling and relaxing on sofa with headphones,"Confident woman in her 50s smiling with natural skin, no make up, beauty, carefree, wellbeing, healthy lifestyle",neutral,neutral,none
Back view of elementary students raising their arms on a class.,Rear view of large group of students raising their arms to answer the question on a class at elementary school.,neutral,neutral,none
Acknowledging a colleague's achievement,Cropped shot of a group of businesspeople applauding during a seminar in the conference room,positive,happiness,social-contact
Young woman eating meat skewer at a backyard patry with friends,Young woman eating meat skewer at a backyard patry with friends,positive,happiness,none
Asian chinese father golfer teaching daughter playing golf at driving range golf course,Golf,neutral,neutral,family
Grandmother and baby boy reading a picture book together,Asian senior woman reading a picture book to her grandson at home.,neutral,neutral,family
Motherly tenderness,"Photo of worried mother taking temperature of her little son who is lying in bed with fever. Mature brown hair mother checking the temperature of her ill 11 years old boy with thermometer on a couch in the living room at home, calling doctor. Sick boy with thermometer laying in bed and mother hand taking temperature. Mother checking temperature of her sick son who has thermometer. Sick child with fever and illness in bed. Mature mother in denim shirt talking on the smartphone with an ambulance worker",neutral,neutral,family
Road trip selfie,"Group of surfers making a selfie during a road trip, while driving in a over packed car, stuffed with surfboards",positive,happiness,none
Happy family enjoying in their trip by car.,Happy parents and their kids enjoying while traveling by car. The view is through windshield.,positive,happiness,social-contact
Two Friends Talking at Work,Two women colleagues laughing while standing near a window together at their workplace. There is a laptop on the table in front of them.,positive,happiness,social-contact
Woman realxing floating above the grass,Woman realxing floating above the grass,neutral,neutral,none
Young woman lying down and sleeping on a hammock,Young woman lying down and sleeping on a hammock,neutral,neutral,none
Asian toddler boy walking in garden.,"Asian toddler boy walking in garden, enjoying himself, looking at a flowering plant.",positive,happiness,curiosity
Single father applying pollution mask to his daughter,Single father applying pollution mask to his daughter. They are outside.,neutral,neutral,family
Thoughtful businesswoman smiling in office,Thoughtful businesswoman smiling while looking away at creative office with colleagues in background,positive,happiness,none
Woman sitting in garden on chair holding tablet,Woman sitting in garden on chair holding tablet,neutral,neutral,none
We exercise togather,Photo of a playful grandfather and granddaughter. They are casually dressed and playing in the park. They exercise together. A grandfather is exercising while granddaughters are sitting on his back.,positive,happiness,family
Nightmare,Little girl scared by a ghost.,negative,fear,tranquility
"Portrait of Angry Young Man Holding Large Knife, Low Key",Portrait,negative,anger,vengeance
Young man gets angry while driving the car,Young man gets angry while driving the car,negative,anger,none
Senior woman caregiver paperwork signing last will,"Young woman helping senior woman, 91 years old, with paperwork",neutral,neutral,family
Jealous woman watching couple,Jealous woman watching couple,negative,sad,romance
Happy man jumping mid-air in front of white wall,Happy man jumping mid-air in front of white wall,positive,happiness,none
", close up","F young women talking, having a good time,",positive,happiness,social-contact
Portrait of smiling friends standing in front of yellow wall,Portrait of smiling friends standing in front of yellow wall,positive,happiness,social-contact
Little explorer,Little girl with a butterfly,positive,happiness,curiosity
Mature couple experiences marital problems,Upset woman standing with man in background at home. Mature couple having relationship difficulties.,negative,anger,none
Mother and kids enjoying sunset in mountains,Mother and three kids hiking in mountains. Family is sitting on tree trunk and looking at sunset and view. Cold winter or autumn day. Nikon D850,positive,happiness,family
Friends jumping in a line on the beach in sunlight,Friends jumping in a line on the beach in sunlight,positive,happiness,social-contact
Women giving high-five after basketball match,Happy women giving each other high-five after basketball game. Successful female players playing streetball on outdoor court.,positive,happiness,social-contact
Jealous girlfriend peeking her boyfriend mobile phone while he is reading a message,Jealous girlfriend peeking and spying her boyfriend mobile phone while he is reading a message,negative,sad,romance
Young man is proposing to his girlfriend,Young man is proposing to his girlfriend,positive,happiness,romance
Close-Up Of Portrait Of Shocked Young Man,Close-Up Of Portrait Of Shocked Young Man,negative,fear,none
Cheerful teen woman covering her mouth,"Young smiling woman looking away covereng her mouth with fingers, closeup shot.",positive,happiness,none
Siblings with N95 respiratory mask outdoors at night,"People, N95 respiratory mask, Recife, Pernambuco, Northeastern Brazil",positive,happiness,social-contact
Portrait of woman lying on the couch at home thinking,Portrait of woman lying on the couch at home thinking,positive,happiness,none
Learning from home,Learning from home. Teenage boy studying from home,neutral,neutral,none
Shocked young woman,"Portrait of terrified young woman wearing striped top, looking at the camera. Studio shot, white background.",negative,fear,none
Little girl in library,Little girl flicking trough books in a library. Natural light.,neutral,neutral,none
Cheerful businesswoman looking away at station,Cheerful young businesswoman looking away while walking at station. Female commuter is laughing. She is having curly black hair.,positive,happiness,none
Home office,Young businessman working at home using lap top,positive,happiness,none
Portrait of a smiling senior couple on the farm,Portrait of a smiling senior couple on the farm,positive,happiness,romance
"Despairing teenager sitting with head on knees in the dark frame of a doorway, backlit by a room behind flooded with daylight","Despairing teenager sitting with head on knees in the dark frame of a doorway, backlit by a room behind flooded with daylight",negative,sad,tranquility
Portrait of young family of sofa at home,Portrait of young family of sofa at home,positive,happiness,family
Embracing Senior Chinese Couple Outdoors in Hong Kong,Portrait of smiling senior Chinese couple standing face to face and with arms around one another outdoors in Hong Kong.,positive,happiness,romance
Father and son enjoying time together during lockdown,Father and son playing together on sofa in living room. Man lifting up his boy. Family staying at home due to pandemic COVID-19.,positive,happiness,family
Shocked nerdy student among her classmate in blurred motion.,Fearful female student looking at camera while other students are walking around her in blurred motion.,negative,fear,tranquility
Man reading newspaper on sofa,Man reading newspaper on sofa,neutral,neutral,none
Woman reading book in bed,Young woman lying in her bed reading a book at night,neutral,neutral,none
Angry African man shouting,Angry African man shouting,negative,anger,none
M happy for so many reasons,Cropped shot of a handsome young man chilling at an outdoors coffee shop,positive,happiness,none
Man holding shotgun,Man in black leather holding high tech shotgun,negative,anger,vengeance
Motherhood,Breastfeeding in the morning,neutral,neutral,family
Businessman slapping his colleague,Angry businessman slapping his colleague against black background at night.,negative,anger,vengeance
Young woman sitting on yellow armchair in her empty living room,Young woman sitting on yellow armchair in her empty living room,neutral,neutral,none
Groom hugging and lifting bride,Groom hugging and lifting bride,positive,happiness,romance
Man working from home,Close up of a mid adult man working on a laptop from his cabin in the woods,positive,happiness,none
Happy female computer programmers giving high-five over desk in office,Happy female computer programmers giving high-five over desk in office,positive,happiness,social-contact
There is no end for our fun,Two girls riding in convertible,positive,happiness,social-contact
Young asian mom carrying her daughter on back in park joyfully,Young asian mom carrying her daughter on back in park joyfully,positive,happiness,family
Senior woman with mask looking through window,Senior woman with mask looking through window,negative,sad,none
Young mother with two children walking in public park in autumn,Young mother visiting public park with a little daughter on baby stroller and a son in baby carrier. Playing with playground equipments and having lunch in there.,neutral,neutral,family
Portrait of smiling woman looking at camera.,Beautiful smiling Brazilian woman looking at camera,positive,happiness,none
Mature man and young woman running away from airplane,"Salt flat at Salar de Uyuni, Bolivia",negative,fear,tranquility
Happy couple smiling in their new home,Happy couple smiling and sitting on the floor in their new home - real estate concepts,positive,happiness,romance
Best tutor,Father and daughter having fun,positive,happiness,family
Dreamlike.,Young woman sleeping in bed. Space for copy.,neutral,neutral,none
Woman in glass cube,Woman in glass cube,negative,sad,tranquility
Young mother and her son having fun by the river out in the forest,Young mother and her son playing in flowing water out in nature,positive,happiness,curiosity
Girl making volcano,Girl making volcano,positive,happiness,curiosity
An industrial warehouse worker being the target of bullying,"An industrial warehouse worker being the target of bullying, abuse or discrimination.",negative,fear,tranquility
Male Portrait,Portrait of a man on a white background. Http://s3.amazonaws.com/drbimages/m/ml.jpg,negative,disgust,none
Young family walking through long grass in field with picnic,Young family walking through long grass in field with picnic,neutral,neutral,family
Close up of a bride and groom,Close up of a bride and groom,positive,happiness,romance
"Choose you, please say you choose me too",Shot of a young man proposing to his girlfriend at the beach,positive,happiness,romance
Smiling man sitting on sofa using cell phone,Smiling man sitting on sofa using cell phone,neutral,neutral,none
Grandmother holding Christmas wreath around smiling grandson,Grandmother holding Christmas wreath around smiling grandson,positive,happiness,family
Businessman 2,Businessman holding briefcase to protect himself,negative,fear,tranquility
"Disapproving old woman at party, wearing bunny ears and boa",An old woman dressed for a party in feather boa and bunny ears looks down at a wine glass frowning in disapproval. Perhaps she's teetotal.,negative,disgust,none
Happy children swinging and smiling at golden sunset,"Childhood, Swinging, Laughing, Smiling, Fun",positive,happiness,none
Man sitting on window sill,Man sitting on window sill,negative,sad,none
Hispanic teacher with three boys in library reading book,"Mid adult Hispanic woman in her 30s sitting at a table in the library with three elementary school students, boys 5 and 6 years old. The teacher is holding a book, reading aloud, and they are all looking at her, listening.",positive,happiness,curiosity
African fan watching a soccer game,Happy Brazilian fan,positive,happiness,none
Boy eats a freshly picked vegetable in the garden with his father,Boy eats a freshly picked vegetable in the garden with his father,neutral,neutral,family
Father and Son Exploring Nature,Father with three year old son on shoulders hiking through the forest and exploring the wonders of nature,positive,happiness,curiosity
Burnout is killing his career,Shot of a young businessman experiencing stress during a late night at work,negative,sad,none
Fly fisherman,"Fly fisherman enjoy a little stream time on the Roaring Fork River near Aspen, CO",neutral,neutral,none
Beautiful woman texting on the street,Smiling young woman walking outdoors at urban setting and checking messages.,positive,happiness,none
"Wonderful, I'll see you first thing on Monday",Shot of two colleagues shaking hands during a meeting at work,positive,happiness,social-contact
"Young boy, upside-down, looking through play tube in garden","Young boy, upside-down, looking through play tube in garden",positive,happiness,curiosity
Group of women friends holding hands together against sunset,Group of women friends holding hands together against sunset,positive,happiness,social-contact
Woman relaxing in bubble bath,Woman relaxing in bubble bath,neutral,neutral,none
"Multi-Ethnic Young Man Walking Friendly Mixed Breed Dog, Residential Street","Happy rescue dog being walked on leash by Eurasian young man. Santa Clara, California, USA.",neutral,neutral,none
Three Generation women,Three Generation women,positive,happiness,family
Mother and son embracing and receiving gifts - Mothers Or Children's Day,Love my Family,positive,happiness,family
Pregnant Woman Excercising,Young pregnant woman exercising by walking carrying an water bottle.,neutral,neutral,none
Enjoying their night out,Group of friends dancing and enjoying a night out in the club.,positive,happiness,social-contact
In the home zone,Shot of a senior man relaxing on the sofa at home,neutral,neutral,none
Woman Depressed And Alone,Woman Depressed And Alone,negative,sad,tranquility
Girl jumping from joy in Barcelona,Young girl at Placa de Catalunya jumping happily among the pigeons,positive,happiness,none
Studio shot of young woman,Studio shot of African American young woman,positive,happiness,none
Love begins at home,Shot of a young family spending quality time in the kitchen at home,positive,happiness,family
Overcoming her own demons,Young woman looking anxious and fearful,negative,fear,none
Beautiful girl on the red background showing right direction with her fingers,Beautiful girl on the red background showing right direction with her fingers,positive,happiness,none
Cute Baby Girl Crawling In Living Room,Adorable Baby Girl Learning How To Crawl At Her Warm Home,positive,happiness,curiosity
Young man lying on sofa watching TV,Young man lying on sofa watching TV,neutral,neutral,none
Toddler boy enjoys playing with toys in waiting room,An adorable toddler boy sits at a table in a doctor's waiting room and reaches up cheerfully to play with a toy bead maze.,positive,happiness,none
Smiling businessman in discussion at workstation,Smiling businessman in discussion at workstation in office,positive,happiness,none
Woman in blanket walking near swimming pool,Woman in blanket walking near swimming pool,neutral,neutral,none
She knows just how to make each patient feel special,Shot of a caregiver and her patient out for a walk in the garden,positive,happiness,social-contact
Little boy and his grandad,"Little boy is playing outdoors, next to the lake with his grandfather.",neutral,neutral,family
High school romance/dating in a hallway and jealousy - I,High school romance/dating in a hallway and jealousy - I,negative,sad,romance
Happy groom kneeling in front of the bride,Smiling black groom kneeling in front of the happy caucasian bride looking at her eyes and holding her hand.,positive,happiness,romance
"Young Asian woman in headphones, lying on grass, relaxing and listening to good music","Taiwan, Relaxation, Women, Headphones, Music, One Woman Only",positive,happiness,none
Little boy blowing and cooling Takoyaki Japanese food in food court,Little boy blowing and cooling Takoyaki Japanese food in food court,neutral,neutral,family
Young hip woman with her arms raised in celebration,Young hip woman with her arms raised in celebration,positive,happiness,none
Mid adult businessman relaxing on sofa,Portrait of mid adult businessman sitting on sofa. Smiling man in casuals relaxing in office.,neutral,neutral,none
Portrait of couple during their wedding,Portrait of a couple during their wedding.,positive,happiness,romance
Active seniors enjoying time together on the beach,Seniors enjoying holidays on the beach,neutral,neutral,none
Wide-eyed senior woman peeping nervously through blinds,Senior woman peeps fearfully through venetian blinds,negative,fear,curiosity
Hispanic girl hugging leg of mother,Hispanic girl hugging leg of mother,negative,fear,tranquility
Cheerful young women eating fresh pizza,Cheerful young women eating fresh pizza while enjoying slumber party at home,positive,happiness,social-contact
